,Wcurtt,Scurtt,CleanFirm,Zt,Xt,G1t,G2t,Gngt,BCt,BDt,BXt,lBt,LdCt,LdDt,LdXt,lLdt,TCt,TDt,TXt,lTvt,Gtest,Kstt,Lt,dLt,Lcurtt,Ct,Wt,St,P1,P2,CFE,PNGt
154,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,39237.321490657196,0.0,34528.84291177833,4708.478578878863,0.0,0.0,0.0,0.0,4197.082063851246,-2.1827872842550278e-11,19292.47319438937,209.8541031925625,-8.076312951743602e-12,0.0,93889.21554344139,5000.0,1110.7844565586129,0.0,24823.619097949584,112499.99999999999,50,45,0.5,40
155,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,78528.84291177834,6000.0,0.0,0.0,0.0,0.0,11062.689740391535,5.4569682106375694e-12,29802.028447761324,553.1344870195773,2.0190782379359005e-12,0.0,98889.21554344139,5000.0,0.0,0.0,20000.000000000004,139951.90528383292,50,45,0.5,40
156,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,122528.84291177834,6000.0,0.0,0.0,0.0,0.0,20711.786684120492,0.0,49478.22579767579,1035.5893342060256,0.0,0.0,95146.07769214854,-3743.1378512928495,0.0,0.0,15857.86437626905,150000.0,50,45,0.5,40
157,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,166528.84291177834,6000.0,0.0,0.0,0.0,0.0,12485.319515995594,1.8189894035458565e-12,61339.2793378716,624.2659757997802,6.730260793119669e-13,0.0,90146.07769214854,-5000.0,4853.922307851462,0.0,12679.491924311224,139951.90528383292,50,45,0.5,40
158,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,38035.40578207008,0.0,200000.0,4564.248693848409,0.0,0.0,0.0,0.0,0.0,3.637978807091713e-11,61339.279337871565,0.0,1.3460521586239339e-11,0.0,85146.07769214854,-5000.0,9853.922307851462,0.0,10681.483474218632,112500.00000000001,50,45,0.5,40
159,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,4853.922307851477,-9.094947017729282e-13,65950.50553033047,242.69611539257406,-3.3651303965598344e-13,0.0,80146.07769214854,-5000.0,14853.922307851462,0.0,10000.0,75000.00000000001,50,45,0.5,40
160,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2562.907171707644,197437.09282829234,0.0,0.0,0.0,0.0,0.0,0.0,65950.50553033047,0.0,0.0,24401.687046222272,1.0,75146.07769214854,-5000.0,19853.922307851462,0.0,10681.483474218632,37499.99999999999,50,45,0.5,40
161,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47418.49105167019,150018.60177662215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,70146.07769214854,-5000.0,24853.922307851462,0.0,12679.491924311227,10048.094716167121,50,45,0.5,40
162,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,49288.21331587949,100730.38846074266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,65146.07769214854,-5000.0,29853.922307851462,0.0,15857.864376269046,2.2496396739927862e-27,50,45,0.5,40
163,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40146.077692148545,60584.310768594114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,60146.07769214854,-5000.0,34853.92230785146,0.0,19999.999999999993,0.0,50,45,0.5,40
164,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30322.45859419895,30261.852174395164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55146.07769214854,-5000.0,39853.92230785146,0.0,24823.619097949588,0.0,50,45,0.5,40
165,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20146.07769214854,10115.774482246623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,50146.07769214854,-5000.0,44853.92230785146,0.0,29999.999999999996,0.0,50,45,0.5,40
166,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9969.696790098133,146.07769214855216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,45146.07769214854,-5000.0,49853.92230785146,0.0,35176.380902050405,0.0,50,45,0.5,40
167,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.07769214855216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40146.07769214854,-5000.0,54853.92230785146,0.0,39999.999999999985,0.0,50,45,0.5,40
